timestamp,open,high,low,close,volume
2024-01-02T09:30:00,99.55,100.90,98.75,100.00,1000
2024-01-03T09:30:00,101.85,102.80,100.65,101.50,1017
2024-01-04T09:30:00,102.55,104.00,101.75,103.00,1034
2024-01-05T09:30:00,104.85,105.75,103.65,104.50,1051
2024-01-06T09:30:00,104.95,106.35,104.15,105.40,1068
2024-01-07T09:30:00,107.25,108.25,106.05,106.90,1085
2024-01-08T09:30:00,107.95,109.30,107.15,108.40,1102
2024-01-09T09:30:00,110.25,111.20,109.05,109.90,1119
2024-01-10T09:30:00,110.35,111.80,109.55,110.80,1136
2024-01-11T09:30:00,112.65,113.55,111.45,112.30,1153
2024-01-12T09:30:00,113.35,114.75,112.55,113.80,1170
2024-01-13T09:30:00,115.65,116.65,114.45,115.30,1187
2024-01-14T09:30:00,117.55,118.90,116.75,118.00,1204
2024-01-15T09:30:00,117.25,118.20,116.05,116.90,1221
2024-01-16T09:30:00,115.35,116.80,114.55,115.80,1238
2024-01-17T09:30:00,115.05,115.95,113.85,114.70,1255
2024-01-18T09:30:00,112.55,113.95,111.75,113.00,1272
2024-01-19T09:30:00,112.25,113.25,111.05,111.90,1289
2024-01-20T09:30:00,110.35,111.70,109.55,110.80,1306
2024-01-21T09:30:00,110.05,111.00,108.85,109.70,1323
2024-01-22T09:30:00,107.55,109.00,106.75,108.00,1340
2024-01-23T09:30:00,107.25,108.15,106.05,106.90,1357
2024-01-24T09:30:00,105.35,106.75,104.55,105.80,1374
2024-01-25T09:30:00,105.05,106.05,103.85,104.70,1391
2024-01-26T09:30:00,103.55,104.90,102.75,104.00,1408
2024-01-27T09:30:00,105.85,106.80,104.65,105.50,1425
2024-01-28T09:30:00,106.55,108.00,105.75,107.00,1442
2024-01-29T09:30:00,108.85,109.75,107.65,108.50,1459
2024-01-30T09:30:00,108.95,110.35,108.15,109.40,1476
2024-01-31T09:30:00,111.25,112.25,110.05,110.90,1493
2024-02-01T09:30:00,111.95,113.30,111.15,112.40,1510
2024-02-02T09:30:00,114.25,115.20,113.05,113.90,1527
2024-02-03T09:30:00,114.35,115.80,113.55,114.80,1544
2024-02-04T09:30:00,116.65,117.55,115.45,116.30,1561
2024-02-05T09:30:00,117.35,118.75,116.55,117.80,1578
2024-02-06T09:30:00,119.65,120.65,118.45,119.30,1595
2024-02-07T09:30:00,121.55,122.90,120.75,122.00,1612
2024-02-08T09:30:00,121.25,122.20,120.05,120.90,1629
2024-02-09T09:30:00,119.35,120.80,118.55,119.80,1646
2024-02-10T09:30:00,119.05,119.95,117.85,118.70,1663
2024-02-11T09:30:00,116.55,117.95,115.75,117.00,1680
2024-02-12T09:30:00,116.25,117.25,115.05,115.90,1697
2024-02-13T09:30:00,114.35,115.70,113.55,114.80,1714
2024-02-14T09:30:00,114.05,115.00,112.85,113.70,1731
2024-02-15T09:30:00,111.55,113.00,110.75,112.00,1748
2024-02-16T09:30:00,111.25,112.15,110.05,110.90,1765
2024-02-17T09:30:00,109.35,110.75,108.55,109.80,1782
2024-02-18T09:30:00,109.05,110.05,107.85,108.70,1799
2024-02-19T09:30:00,107.55,108.90,106.75,108.00,1816
2024-02-20T09:30:00,109.85,110.80,108.65,109.50,1833
2024-02-21T09:30:00,110.55,112.00,109.75,111.00,1850
2024-02-22T09:30:00,112.85,113.75,111.65,112.50,1867
2024-02-23T09:30:00,112.95,114.35,112.15,113.40,1884
2024-02-24T09:30:00,115.25,116.25,114.05,114.90,1901
2024-02-25T09:30:00,115.95,117.30,115.15,116.40,1918
2024-02-26T09:30:00,118.25,119.20,117.05,117.90,1935
2024-02-27T09:30:00,118.35,119.80,117.55,118.80,1952
2024-02-28T09:30:00,120.65,121.55,119.45,120.30,1969
2024-02-29T09:30:00,121.35,122.75,120.55,121.80,1986
2024-03-01T09:30:00,123.65,124.65,122.45,123.30,2003
2024-03-02T09:30:00,125.55,126.90,124.75,126.00,2020
2024-03-03T09:30:00,125.25,126.20,124.05,124.90,2037
2024-03-04T09:30:00,123.35,124.80,122.55,123.80,2054
2024-03-05T09:30:00,123.05,123.95,121.85,122.70,2071
2024-03-06T09:30:00,120.55,121.95,119.75,121.00,2088
2024-03-07T09:30:00,120.25,121.25,119.05,119.90,2105
2024-03-08T09:30:00,118.35,119.70,117.55,118.80,2122
2024-03-09T09:30:00,118.05,119.00,116.85,117.70,2139
2024-03-10T09:30:00,115.55,117.00,114.75,116.00,2156
2024-03-11T09:30:00,115.25,116.15,114.05,114.90,2173
2024-03-12T09:30:00,113.35,114.75,112.55,113.80,2190
2024-03-13T09:30:00,113.05,114.05,111.85,112.70,2207
